buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.08,0.8,250,5061.71,16.39,-62.72,0.49
1.07,0.83,150,5044.42,16.37,-66.79,0.49
1.15,0.83,200,5017.35,16.35,-61.6,0.49
1.14,0.84,250,5017.35,16.35,-61.6,0.49
1.14,0.83,250,5017.35,16.35,-61.6,0.49
1.16,0.83,200,5017.35,16.35,-61.6,0.49
1.04,0.76,150,5014.2,16.34,-70.57,0.48
1.02,0.7,200,5009.05,16.34,-70.71,0.48
1.02,0.71,200,5009.05,16.34,-70.71,0.48
1.05,0.71,150,5007.53,16.34,-70.02,0.48
1.08,0.77,200,5004.53,16.34,-67.92,0.48
1.07,0.77,200,5004.53,16.34,-67.92,0.48
1.09,0.79,200,4965.02,16.3,-66.75,0.48
1.09,0.78,200,4965.02,16.3,-66.75,0.48
1.05,0.7,150,4950.51,16.29,-69.97,0.48
1.05,0.85,200,4950.41,16.29,-63.76,0.49
1.12,0.81,200,4941.64,16.28,-62.48,0.49
1.13,0.81,200,4941.64,16.28,-62.48,0.49
1.02,0.85,200,4916.24,16.26,-60.72,0.49
1.11,0.71,200,4914.37,16.26,-71.25,0.48
1.11,0.7,200,4914.37,16.26,-71.25,0.48
1.14,0.82,200,4898.25,16.24,-62.48,0.49
1.01,0.76,200,4886.14,16.23,-69.18,0.48
1.1,0.79,150,4881.61,16.23,-66.45,0.48
1.04,0.88,200,4879.89,16.23,-61.64,0.49
1.04,0.75,150,4873.11,16.22,-71.05,0.48
1.17,0.83,200,4853.26,16.2,-61.5,0.48
1.1,0.8,100,4848.27,16.2,-71.79,0.48
1.04,0.85,250,4846.41,16.2,-60.42,0.48
1.13,0.7,150,4841.82,16.19,-70.69,0.48
1.13,0.71,150,4841.82,16.19,-70.69,0.48
1.14,0.82,150,4829.59,16.18,-62.23,0.48
1.02,0.82,150,4823.89,16.18,-75.92,0.49
1.17,0.84,250,4818.81,16.17,-61.6,0.48
1.16,0.84,250,4818.81,16.17,-61.6,0.48
1.17,0.83,250,4818.81,16.17,-61.6,0.48
1.15,0.83,250,4818.81,16.17,-61.6,0.48
1.16,0.83,250,4818.81,16.17,-61.6,0.48
1.15,0.84,250,4818.81,16.17,-61.6,0.48
1.01,0.75,200,4809.15,16.16,-69.14,0.48
1.01,0.74,200,4809.15,16.16,-69.14,0.48
1.14,0.82,250,4799.34,16.15,-62.65,0.48
1.14,0.81,250,4799.34,16.15,-62.65,0.48
1.04,0.73,150,4796.33,16.15,-71.32,0.48
1.04,0.74,150,4796.33,16.15,-71.32,0.48
1.16,0.82,200,4784.93,16.14,-62.4,0.48
1.15,0.82,200,4784.93,16.14,-62.4,0.48
1.06,0.84,200,4781.37,16.14,-62.13,0.48
1.09,0.77,200,4776.88,16.13,-67.69,0.48
