buy,sell,total_ret,cagr,max_dd,sharpe
1.13,0.98,180.25,6.66,-45.65,0.23
1.14,0.99,177.02,6.58,-49.31,0.22
1.15,0.99,176.38,6.57,-49.31,0.22
1.15,0.94,176.31,6.56,-53.88,0.22
1.19,0.98,175.99,6.56,-48.15,0.22
1.19,0.97,175.99,6.56,-48.15,0.22
1.19,0.99,175.99,6.56,-48.15,0.22
1.14,0.95,175.43,6.54,-52.37,0.22
1.14,0.98,174.72,6.53,-49.31,0.22
1.16,0.97,174.69,6.53,-49.31,0.22
1.15,0.98,174.12,6.51,-49.31,0.22
1.1,0.91,171.68,6.45,-71.71,0.27
1.13,0.97,168.88,6.38,-45.65,0.22
1.16,0.86,167.38,6.35,-67.32,0.23
1.14,0.94,166.69,6.33,-53.88,0.22
1.14,0.97,165.15,6.29,-49.31,0.21
1.15,0.97,164.57,6.28,-49.31,0.21
1.16,0.85,162.93,6.23,-69.04,0.23
1.1,0.96,162.27,6.22,-63.84,0.24
1.15,0.93,161.95,6.21,-56.28,0.21
1.18,0.96,161.6,6.2,-51.28,0.21
1.18,0.83,160.35,6.17,-72.08,0.22
1.18,0.84,160.35,6.17,-72.08,0.22
1.18,0.82,160.35,6.17,-72.08,0.22
1.11,0.92,160.03,6.16,-72.62,0.26
1.19,0.96,156.7,6.07,-51.28,0.2
1.19,0.82,155.47,6.04,-72.08,0.22
1.19,0.84,155.47,6.04,-72.08,0.22
1.19,0.83,155.47,6.04,-72.08,0.22
1.13,0.9,154.95,6.03,-60.02,0.24
1.12,0.92,154.35,6.01,-71.15,0.25
1.16,0.96,153.6,5.99,-52.37,0.2
1.14,0.93,152.83,5.97,-56.28,0.21
1.16,0.92,151.94,5.95,-59.62,0.21
1.17,0.95,145.45,5.78,-52.37,0.19
1.18,0.81,145.34,5.77,-73.69,0.21
1.18,0.8,143.38,5.72,-73.9,0.21
1.1,0.9,142.77,5.71,-73.0,0.25
1.19,0.81,140.74,5.65,-73.69,0.2
1.19,0.8,138.81,5.6,-73.9,0.2
