buy,sell,ma,total_ret,cagr,max_dd,sharpe
1.02,0.93,200,-10.67,-1.12,-76.19,0.04
1.19,0.92,120,-10.7,-1.13,-14.44,-0.91
1.19,0.93,120,-10.7,-1.13,-14.44,-0.91
1.06,0.88,250,-10.84,-1.14,-73.97,0.06
1.18,0.99,120,-10.84,-1.14,-20.24,-0.6
1.15,0.99,60,-10.85,-1.14,-20.14,-0.79
1.06,0.96,250,-10.86,-1.14,-72.22,0.02
1.0,0.96,200,-10.93,-1.15,-76.84,0.04
1.17,0.87,60,-11.11,-1.17,-21.2,-1.07
1.18,0.87,60,-11.11,-1.17,-21.2,-1.07
1.18,0.88,60,-11.11,-1.17,-21.2,-1.07
1.18,0.85,60,-11.11,-1.17,-21.2,-1.07
